=== BOND ANGLES ===
1-0-14: 110.16°
1-0-15: 109.82°
1-0-16: 110.72°
14-0-15: 108.37°
14-0-16: 108.94°
15-0-16: 108.78°
0-1-2: 109.86°
0-1-5: 110.53°
0-1-17: 107.80°
2-1-5: 109.84°
2-1-17: 109.74°
5-1-17: 109.04°
1-2-3: 120.04°
1-2-4: 120.04°
3-2-4: 119.91°
2-4-18: 120.88°
1-5-6: 121.99°
1-5-19: 119.53°
6-5-19: 118.35°
5-6-7: 120.11°
5-6-8: 119.76°
7-6-8: 120.06°
6-8-9: 111.39°
6-8-13: 111.12°
6-8-20: 107.53°
9-8-13: 111.35°
9-8-20: 107.32°
13-8-20: 107.90°
8-9-10: 116.04°
8-9-21: 107.12°
8-9-22: 109.22°
10-9-21: 108.24°
10-9-22: 109.56°
21-9-22: 106.20°
9-10-11: 112.48°
9-10-12: 109.68°
9-10-23: 109.57°
11-10-12: 109.69°
11-10-23: 108.32°
12-10-23: 106.93°
10-11-24: 110.40°
10-11-25: 110.78°
10-11-26: 110.57°
24-11-25: 108.67°
24-11-26: 106.84°
25-11-26: 109.48°
10-12-27: 110.27°
10-12-28: 110.35°
10-12-29: 110.64°
27-12-28: 107.76°
27-12-29: 108.88°
28-12-29: 108.86°
8-13-30: 108.34°
8-13-31: 108.45°
30-13-31: 105.93°
