=== DIHEDRAL ANGLES ===
14-0-1-2: 60.33°
14-0-1-5: -178.30°
14-0-1-17: -59.21°
15-0-1-2: 179.62°
15-0-1-5: -59.01°
15-0-1-17: 60.08°
16-0-1-2: -60.24°
16-0-1-5: 61.13°
16-0-1-17: -179.78°
0-1-2-3: -102.81°
0-1-2-4: 75.83°
5-1-2-3: 135.40°
5-1-2-4: -45.95°
17-1-2-3: 15.54°
17-1-2-4: -165.82°
1-2-4-18: -179.86°
3-2-4-18: -1.21°
0-1-5-6: 167.69°
0-1-5-19: -16.43°
2-1-5-6: -70.93°
2-1-5-19: 104.95°
17-1-5-6: 49.36°
17-1-5-19: -134.76°
1-5-6-7: -6.61°
1-5-6-8: 170.26°
19-5-6-7: 177.46°
19-5-6-8: -5.66°
5-6-8-9: -75.50°
5-6-8-13: 159.71°
5-6-8-20: 41.83°
7-6-8-9: 101.38°
7-6-8-13: -23.41°
7-6-8-20: -141.29°
6-8-9-10: -51.89°
6-8-9-21: 69.10°
6-8-9-22: -176.28°
13-8-9-10: 72.76°
13-8-9-21: -166.24°
13-8-9-22: -51.63°
20-8-9-10: -169.35°
20-8-9-21: -48.36°
20-8-9-22: 66.26°
8-9-10-11: -66.17°
8-9-10-12: 171.47°
8-9-10-23: 54.38°
21-9-10-11: 173.44°
21-9-10-12: 51.08°
21-9-10-23: -66.01°
22-9-10-11: 58.05°
22-9-10-12: -64.31°
22-9-10-23: 178.59°
9-10-11-24: -171.60°
9-10-11-25: -51.17°
9-10-11-26: 70.39°
12-10-11-24: -49.25°
12-10-11-25: 71.18°
12-10-11-26: -167.26°
23-10-11-24: 67.14°
23-10-11-25: -172.43°
23-10-11-26: -50.88°
9-10-12-27: -58.62°
9-10-12-28: -177.56°
9-10-12-29: 61.90°
11-10-12-27: 177.38°
11-10-12-28: 58.44°
11-10-12-29: -62.11°
23-10-12-27: 60.12°
23-10-12-28: -58.82°
23-10-12-29: -179.36°
6-8-13-30: -60.78°
6-8-13-31: -175.33°
9-8-13-30: 174.42°
9-8-13-31: 59.87°
20-8-13-30: 56.88°
20-8-13-31: -57.67°
